Year,Week,Team,Score,Opponent,Opponent_score,Score_margin,Outcome,Type,Top_scoring_week,Lowest_scoring_week
2019,2.0,Alexander,102.0,Nate,107.0,-5.0,Loss,Regular,0,0
2019,2.0,Cody,97.0,Hayden,91.0,6.0,Win,Regular,0,0
2019,2.0,Hayden,91.0,Cody,97.0,-6.0,Loss,Regular,0,1
2019,3.0,Cody,176.0,Dylan,137.0,39.0,Win,Regular,1,0
2019,3.0,Matt,155.0,Evan,154.0,1.0,Win,Regular,0,0
2019,3.0,Evan,154.0,Matt,155.0,-1.0,Loss,Regular,0,0
2019,3.0,Dylan,137.0,Cody,176.0,-39.0,Loss,Regular,0,0
2019,3.0,Zachary,133.0,Luca,102.0,31.0,Win,Regular,0,0
2019,3.0,Hayden,131.0,Nate,125.0,6.0,Win,Regular,0,0
2019,3.0,Nate,125.0,Hayden,131.0,-6.0,Loss,Regular,0,0
2019,3.0,Alexander,107.0,Gavin,85.0,22.0,Win,Regular,0,0
2019,3.0,Luca,102.0,Zachary,133.0,-31.0,Loss,Regular,0,0
2019,3.0,Gavin,85.0,Alexander,107.0,-22.0,Loss,Regular,0,1
2019,4.0,Dylan,175.0,Nate,80.0,95.0,Win,Regular,1,0
2019,4.0,Evan,135.0,Zachary,126.0,9.0,Win,Regular,0,0
2019,4.0,Zachary,126.0,Evan,135.0,-9.0,Loss,Regular,0,0
2019,4.0,Alexander,121.0,Luca,82.0,39.0,Win,Regular,0,0
2019,4.0,Gavin,118.0,Hayden,115.0,3.0,Win,Regular,0,0
2019,4.0,Hayden,115.0,Gavin,118.0,-3.0,Loss,Regular,0,0
2019,4.0,Matt,113.0,Cody,109.0,4.0,Win,Regular,0,0
2019,4.0,Cody,109.0,Matt,113.0,-4.0,Loss,Regular,0,0
2019,4.0,Luca,82.0,Alexander,121.0,-39.0,Loss,Regular,0,0
2019,4.0,Nate,80.0,Dylan,175.0,-95.0,Loss,Regular,0,1
2019,5.0,Luca,200.0,Hayden,146.0,54.0,Win,Regular,1,0
2019,5.0,Cody,174.0,Zachary,168.0,6.0,Win,Regular,0,0
2019,5.0,Zachary,168.0,Cody,174.0,-6.0,Loss,Regular,0,0
2019,5.0,Hayden,146.0,Luca,200.0,-54.0,Loss,Regular,0,0
2019,5.0,Alexander,146.0,Evan,91.0,55.0,Win,Regular,0,0
2019,5.0,Nate,127.0,Gavin,98.0,29.0,Win,Regular,0,0
2019,5.0,Dylan,122.0,Matt,97.0,25.0,Win,Regular,0,0
2019,5.0,Gavin,98.0,Nate,127.0,-29.0,Loss,Regular,0,0
2019,5.0,Matt,97.0,Dylan,122.0,-25.0,Loss,Regular,0,0
2019,5.0,Evan,91.0,Alexander,146.0,-55.0,Loss,Regular,0,1
